"","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"20",365,365,366,365,365,365,366,0,0,0,0,275,365,365,366,365,365,365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30",365,365,366,365,365,365,366,365,365,365,366,365,365,365,366,365,365,365,366,365,365,365,366,365,365,365,366,365,365,365,366,365,243,122,366,365
"35",365,365,366,365,365,365,366,120,365,365,366,365,365,365,366,365,365,365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"80",365,365,366,365,365,365,366,365,365,365,366,365,365,365,366,365,365,365,366,365,365,365,366,365,365,365,366,365,365,365,366,365,365,365,366,365
"93",365,365,366,365,365,365,366,365,365,365,366,365,365,365,366,365,365,365,366,365,365,365,366,334,365,365,366,365,215,365,306,365,365,365,366,365
"105",365,365,366,365,365,365,366,365,365,365,366,365,365,365,366,365,365,365,366,365,365,365,366,365,365,365,366,365,365,365,366,365,365,365,366,365
"124",365,365,366,335,273,365,182,0,0,214,366,365,365,365,366,365,365,365,366,365,365,365,366,365,365,365,366,365,365,365,366,365,365,365,366,365
"131",365,365,366,365,365,365,366,365,365,365,366,365,365,365,366,365,365,365,366,365,365,365,366,365,365,365,366,365,365,365,366,365,365,365,182,0
"145",365,365,366,365,365,365,366,365,365,365,366,365,365,365,366,365,365,365,366,365,365,365,366,365,365,365,366,365,365,364,366,365,365,267,259,248
"170",365,365,366,365,365,365,366,365,365,365,366,365,365,365,366,365,365,365,366,365,365,365,366,365,0,0,0,0,0,0,0,0,0,0,0,0
