"year","nebel_pct","gew_pct","n"
1990,7.991,10.502,2190
1991,7.854,7.945,2190
1992,7.24,8.151,2196
1993,9.087,12.42,2190
1994,8.402,10.822,2190
1995,9.863,8.128,2190
1996,9.745,8.333,2196
1997,9.954,9.361,2190
1998,7.397,9.269,2190
1999,7.352,9.589,2190
2000,8.197,9.563,2196
2001,5.616,6.667,2190
2002,5.342,8.995,2190
2003,7.9,8.037,2190
2004,6.648,6.74,2196
2005,6.53,5.982,2190
2006,7.032,7.854,2190
2007,5.068,7.945,2190
2008,5.282,8.288,2196
2009,5.845,9.087,2190
2010,5.205,6.21,2190
2011,7.854,6.986,2190
2012,4.918,8.47,2196
2013,5.512,4.91,2159
2014,6.073,7.945,2190
2015,4.612,5.571,2190
2016,4.463,7.195,2196
2017,3.47,8.904,2190
2018,4.216,9.51,2040
2019,3.106,4.294,2189
2020,5.197,4.167,2136
2021,4.612,5.479,2190
2022,4.159,4.884,2068
2023,1.785,4.489,1849
2024,3.255,6.299,1905
