"year","fit","lwr","upr","log_model"
1990,9.091,6.769,11.414,9.78
1991,8.921,6.608,11.234,9.487
1992,8.75,6.447,11.054,9.202
1993,8.58,6.285,10.875,8.926
1994,8.41,6.123,10.697,8.658
1995,8.239,5.96,10.519,8.398
1996,8.069,5.796,10.341,8.146
1997,7.898,5.632,10.165,7.901
1998,7.728,5.467,9.988,7.664
1999,7.557,5.302,9.813,7.434
2000,7.387,5.136,9.638,7.211
2001,7.216,4.969,9.463,6.994
2002,7.046,4.802,9.29,6.784
2003,6.876,4.635,9.117,6.581
2004,6.705,4.466,8.944,6.383
2005,6.535,4.297,8.772,6.191
2006,6.364,4.128,8.601,6.005
2007,6.194,3.958,8.43,5.825
2008,6.023,3.787,8.26,5.65
2009,5.853,3.616,8.09,5.481
2010,5.682,3.444,7.921,5.316
2011,5.512,3.271,7.753,5.156
2012,5.342,3.098,7.585,5.002
2013,5.171,2.924,7.418,4.851
2014,5.001,2.75,7.252,4.706
2015,4.83,2.575,7.086,4.565
2016,4.66,2.399,6.92,4.428
2017,4.489,2.223,6.756,4.295
2018,4.319,2.046,6.592,4.166
2019,4.148,1.869,6.428,4.041
2020,3.978,1.691,6.265,3.919
2021,3.808,1.513,6.103,3.802
2022,3.637,1.333,5.941,3.687
2023,3.467,1.154,5.779,3.577
2024,3.296,0.974,5.619,3.469
2025,3.126,0.793,5.458,3.365
2026,2.955,0.612,5.299,3.264
2027,2.785,0.43,5.14,3.166
2028,2.614,0.248,4.981,3.071
2029,2.444,0.065,4.823,2.979
2030,2.274,-0.118,4.665,2.889
2031,2.103,-0.302,4.508,2.803
2032,1.933,-0.486,4.352,2.719
2033,1.762,-0.671,4.195,2.637
2034,1.592,-0.856,4.04,2.558
2035,1.421,-1.042,3.885,2.481
2036,1.251,-1.228,3.73,2.407
2037,1.08,-1.415,3.576,2.334
2038,0.91,-1.602,3.422,2.264
2039,0.74,-1.789,3.268,2.196
2040,0.569,-1.977,3.115,2.13
2041,0.399,-2.165,2.963,2.066
2042,0.228,-2.354,2.811,2.004
2043,0.058,-2.543,2.659,1.944
2044,-0.113,-2.733,2.507,1.886
2045,-0.283,-2.923,2.356,1.829
2046,-0.454,-3.113,2.206,1.774
2047,-0.624,-3.303,2.055,1.721
2048,-0.794,-3.494,1.905,1.669
2049,-0.965,-3.686,1.756,1.619
2050,-1.135,-3.877,1.607,1.571
2051,-1.306,-4.069,1.458,1.523
2052,-1.476,-4.261,1.309,1.478
2053,-1.647,-4.454,1.161,1.433
2054,-1.817,-4.647,1.013,1.39
2055,-1.988,-4.84,0.865,1.349
2056,-2.158,-5.034,0.718,1.308
2057,-2.328,-5.227,0.571,1.269
2058,-2.499,-5.422,0.424,1.231
2059,-2.669,-5.616,0.277,1.194
2060,-2.84,-5.811,0.131,1.158
2061,-3.01,-6.005,-0.015,1.123
2062,-3.181,-6.2,-0.161,1.089
2063,-3.351,-6.396,-0.306,1.057
2064,-3.522,-6.591,-0.452,1.025
2065,-3.692,-6.787,-0.597,0.994
2066,-3.862,-6.983,-0.741,0.964
2067,-4.033,-7.18,-0.886,0.935
2068,-4.203,-7.376,-1.03,0.907
2069,-4.374,-7.573,-1.175,0.88
2070,-4.544,-7.77,-1.319,0.854
